Folder_Name,Offset
30_0003576_0003600-reel_begin_end,35
30_0003601_0003625-reel_begin_end,10
30_0003626_0003650-reel_begin_end,10
30_0003651_0003675-reel_begin_end,11
30_0003676_0003700-reel_begin_end,19
30_0003701_0003725-reel_begin_end,20
30_0003726_0003750-reel_begin_end,30
30_0003751_0003775-reel_begin_end,40
30_0003776_0003800-reel_begin_end,20
30_0003801_0003825-reel_begin_end,7
30_0003826_0003850-reel_begin_end,35
30_0003851_0003875-reel_begin_end,35
30_0003876_0003900-reel_begin_end,32
30_0003901_0003925-reel_begin_end,31
30_0003926_0003950-reel_begin_end,30
30_0003951_0003975-reel_begin_end,30
30_0003976_0004000-reel_begin_end,10
30_0004001_0004025-reel_begin_end,30
30_0004026_0004050-reel_begin_end,30
30_0004126_0004150-reel_begin_end,31
30_0004151_0004175-reel_begin_end,28
30_0004226_0004250-reel_begin_end,27
30_0004251_0004275-reel_begin_end,10
30_0004276_0004300-reel_begin_end,8
30_0004301_0004325-reel_begin_end,19
30_0004326_0004350-reel_begin_end,19
30_0004351_0004375-reel_begin_end,27
30_0004376_0004400-reel_begin_end,38
30_0004401_0004425-reel_begin_end,27
30_0004426_0004450-reel_begin_end,32
30_0004451_0004475-reel_begin_end,32
30_0004476_0004500-reel_begin_end,12
30_0004501_0004525-reel_begin_end,25
30_0004526_0004550-reel_begin_end,29
30_0004551_0004575-reel_begin_end,29
30_0004576_0004600-reel_begin_end,29
30_0004626_0004650-reel_begin_end,27
30_0004651_0004675-reel_begin_end,17
30_0004676_0004700-reel_begin_end,31
30_0004701_0004725-reel_begin_end,26
30_0004726_0004750-reel_begin_end,4
30_0004751_0004775-reel_begin_end,22
30_0004776_0004800-reel_begin_end,27
30_0004801_0004825-reel_begin_end,24
30_0004826_0004850-reel_begin_end,7
30_0004851_0004875-reel_begin_end,19
30_0004876_0004900-reel_begin_end,26
30_0004926_0004950-reel_begin_end,19
30_0004951_0004975-reel_begin_end,6
30_0004976_0005000-reel_begin_end,26
30_0005001_0005025-reel_begin_end,5
30_0005026_0005050-reel_begin_end,15
30_0005051_0005075-reel_begin_end,14
30_0005076_0005100-reel_begin_end,29
30_0005101_0005125-reel_begin_end,29
30_0005126_0005150-reel_begin_end,29
30_0005151_0005175-reel_begin_end,21
30_0005176_0005200-reel_begin_end,19
30_0005201_0005225-reel_begin_end,0
32_0008925_0008949-reel_begin_end,21
32_0008950_0008974-reel_begin_end,7
32_0009000_0009024-reel_begin_end,36
32_0009025_0009049-reel_begin_end,27
32_0009075_0009099-reel_begin_end,0
32_0009100_0009124-reel_begin_end,0
32_0009125_0009149-reel_begin_end,0
32_0009175_0009199-reel_begin_end,16
32_0009200_0009224-reel_begin_end,18
32_0009225_0009249-reel_begin_end,0
32_0009250_0009274-reel_begin_end,0
32_0009275_0009299-reel_begin_end,26
32_0009300_0009324-reel_begin_end,25
32_0009325_0009349-reel_begin_end,7
32_0009350_0009374-reel_begin_end,0
32_0009375_0009399-reel_begin_end,38
32_0009425_0009449-reel_begin_end,6
32_0009450_0009474-reel_begin_end,4
32_0009475_0009499-reel_begin_end,18
32_0009500_0009524-reel_begin_end,0
32_0009525_0009549-reel_begin_end,24
32_0009550_0009574-reel_begin_end,0
32_0009575_0009599-reel_begin_end,13
32_0009625_0009649-reel_begin_end,13
32_0009650_0009674-reel_begin_end,18
32_0009725_0009749-reel_begin_end,17
32_0009800_0009824-reel_begin_end,31
32_0009825_0009849-reel_begin_end,16
32_0009900_0009924-reel_begin_end,35
32_0009925_0009949-reel_begin_end,29
32_0009950_0009974-reel_begin_end,20
32_0009975_0009999-reel_begin_end,24
32_0010000_0010024-reel_begin_end,26
32_0010025_0010049-reel_begin_end,30
32_0010050_0010074-reel_begin_end,14
